,Intolerance,wealth_intolerance,Avg pct similar neighbors
437,0.25,0.25,57.9
438,0.25,0.25,57.9
439,0.25,0.25,57.9
440,0.25,0.25,57.9
441,0.25,0.25,57.9
442,0.25,0.25,57.9
443,0.25,0.25,57.9
444,0.25,0.25,57.9
445,0.25,0.25,57.9
446,0.25,0.25,57.9
447,0.25,0.25,57.9
448,0.25,0.25,57.9
449,0.25,0.25,57.9
450,0.25,0.25,57.9
451,0.25,0.25,57.9
452,0.25,0.25,57.9
453,0.25,0.25,57.9
454,0.25,0.25,57.9
455,0.25,0.25,57.9
456,0.25,0.25,57.9
457,0.25,0.25,57.9
458,0.25,0.25,57.9
459,0.25,0.25,0.0
460,0.25,0.25,0.0
461,0.25,0.25,52.0
462,0.25,0.25,55.5
463,0.25,0.25,56.1
464,0.25,0.25,56.3
465,0.25,0.25,56.8
466,0.25,0.25,56.8
467,0.25,0.25,56.8
468,0.25,0.25,56.8
469,0.25,0.25,56.8
470,0.25,0.25,56.8
471,0.25,0.25,56.8
472,0.25,0.25,56.8
473,0.25,0.25,56.8
474,0.25,0.25,56.8
475,0.25,0.25,56.8
476,0.25,0.25,56.8
477,0.25,0.25,56.8
478,0.25,0.25,56.8
479,0.25,0.25,56.8
480,0.25,0.25,56.8
481,0.25,0.25,56.8
482,0.25,0.25,56.8
483,0.25,0.25,56.8
484,0.25,0.25,56.8
485,0.25,0.25,56.8
486,0.25,0.25,56.8
487,0.25,0.25,56.8
488,0.25,0.25,56.8
489,0.25,0.25,56.8
490,0.25,0.25,56.8
491,0.25,0.25,56.8
492,0.25,0.25,56.8
493,0.25,0.25,56.8
494,0.25,0.25,56.8
495,0.25,0.25,56.8
496,0.25,0.25,56.8
497,0.25,0.25,56.8
498,0.25,0.25,56.8
499,0.25,0.25,56.8
500,0.25,0.25,56.8
501,0.25,0.25,56.8
502,0.25,0.25,56.8
503,0.25,0.25,56.8
504,0.25,0.25,56.8
505,0.25,0.25,56.8
506,0.25,0.25,56.8
507,0.25,0.25,56.8
508,0.25,0.25,56.8
509,0.25,0.25,56.8
510,0.25,0.25,0.0
511,0.25,0.25,0.0
512,0.25,0.25,49.8
513,0.25,0.25,52.9
514,0.25,0.25,53.3
515,0.25,0.25,54.5
516,0.25,0.25,55.0
517,0.25,0.25,54.9
518,0.25,0.25,55.0
519,0.25,0.25,55.1
520,0.25,0.25,55.1
521,0.25,0.25,55.1
522,0.25,0.25,55.1
523,0.25,0.25,55.1
524,0.25,0.25,55.1
525,0.25,0.25,55.1
526,0.25,0.25,55.1
527,0.25,0.25,55.1
528,0.25,0.25,55.1
529,0.25,0.25,55.1
530,0.25,0.25,55.1
531,0.25,0.25,55.1
532,0.25,0.25,55.1
533,0.25,0.25,55.1
534,0.25,0.25,55.1
535,0.25,0.25,55.1
536,0.25,0.25,55.1
537,0.25,0.25,55.1
538,0.25,0.25,55.1
539,0.25,0.25,55.1
540,0.25,0.25,55.1
541,0.25,0.25,55.1
542,0.25,0.25,55.1
543,0.25,0.25,55.1
544,0.25,0.25,55.1
545,0.25,0.25,55.1
546,0.25,0.25,55.1
547,0.25,0.25,55.1
548,0.25,0.25,55.1
549,0.25,0.25,55.1
550,0.25,0.25,55.1
551,0.25,0.25,55.1
552,0.25,0.25,55.1
553,0.25,0.25,55.1
554,0.25,0.25,55.1
555,0.25,0.25,55.1
556,0.25,0.25,55.1
557,0.25,0.25,55.1
558,0.25,0.25,55.1
559,0.25,0.25,55.1
560,0.25,0.25,55.1
561,0.25,0.25,0.0
562,0.25,0.25,0.0
563,0.25,0.25,51.4
564,0.25,0.25,53.5
565,0.25,0.25,54.0
566,0.25,0.25,55.0
567,0.25,0.25,55.1
568,0.25,0.25,55.1
569,0.25,0.25,55.4
570,0.25,0.25,55.2
571,0.25,0.25,55.5
572,0.25,0.25,55.4
573,0.25,0.25,55.4
574,0.25,0.25,55.4
575,0.25,0.25,55.4
576,0.25,0.25,55.4
577,0.25,0.25,55.4
578,0.25,0.25,55.4
579,0.25,0.25,55.4
580,0.25,0.25,55.4
581,0.25,0.25,55.4
582,0.25,0.25,55.4
583,0.25,0.25,55.4
584,0.25,0.25,55.4
585,0.25,0.25,55.4
586,0.25,0.25,55.4
587,0.25,0.25,55.4
588,0.25,0.25,55.4
589,0.25,0.25,55.4
590,0.25,0.25,55.4
591,0.25,0.25,55.4
592,0.25,0.25,55.4
593,0.25,0.25,55.4
594,0.25,0.25,55.4
595,0.25,0.25,55.4
596,0.25,0.25,55.4
597,0.25,0.25,55.4
598,0.25,0.25,55.4
599,0.25,0.25,55.4
600,0.25,0.25,55.4
601,0.25,0.25,55.4
602,0.25,0.25,55.4
603,0.25,0.25,55.4
604,0.25,0.25,55.4
605,0.25,0.25,55.4
606,0.25,0.25,55.4
607,0.25,0.25,55.4
608,0.25,0.25,55.4
609,0.25,0.25,55.4
610,0.25,0.25,55.4
611,0.25,0.25,55.4
612,0.25,0.25,0.0
613,0.25,0.25,0.0
614,0.25,0.25,52.6
615,0.25,0.25,57.0
616,0.25,0.25,59.0
617,0.25,0.25,58.9
618,0.25,0.25,59.5
619,0.25,0.25,59.3
620,0.25,0.25,59.3
621,0.25,0.25,59.3
622,0.25,0.25,59.3
623,0.25,0.25,59.5
624,0.25,0.25,59.5
625,0.25,0.25,59.5
626,0.25,0.25,59.5
627,0.25,0.25,59.5
628,0.25,0.25,59.5
629,0.25,0.25,59.5
630,0.25,0.25,59.5
631,0.25,0.25,59.5
632,0.25,0.25,59.5
633,0.25,0.25,59.5
634,0.25,0.25,59.5
635,0.25,0.25,59.5
636,0.25,0.25,59.5
637,0.25,0.25,59.5
638,0.25,0.25,59.5
639,0.25,0.25,59.5
640,0.25,0.25,59.5
641,0.25,0.25,59.5
642,0.25,0.25,59.5
643,0.25,0.25,59.5
644,0.25,0.25,59.5
645,0.25,0.25,59.5
646,0.25,0.25,59.5
647,0.25,0.25,59.5
648,0.25,0.25,59.5
649,0.25,0.25,59.5
650,0.25,0.25,59.5
651,0.25,0.25,59.5
652,0.25,0.25,59.5
653,0.25,0.25,59.5
654,0.25,0.25,59.5
655,0.25,0.25,59.5
656,0.25,0.25,59.5
657,0.25,0.25,59.5
658,0.25,0.25,59.5
659,0.25,0.25,59.5
660,0.25,0.25,59.5
661,0.25,0.25,59.5
662,0.25,0.25,59.5
663,0.25,0.25,0.0
664,0.25,0.25,0.0
665,0.25,0.25,52.2
666,0.25,0.25,55.5
